id,latitude,longitude,elevation
24724,62.0333,112.5,424
78317,22.55,-83.3,0
34027,51.7833,38.1333,0
OCYVH,46.02,-71.95,140
MKJP2,49.3683,8.1854,145
99544,57,2.1,-9999
80002,13.3667,-81.35,6
85230,-17.5833,-69.6,4054
42383,26.6667,84.9167,65
86696,-14.1817,-41.6722,470
72495,37.7,-123,12
KDPA0,41.9069,-88.2482,231
47707,36.65,137.1833,24
KE410,31.1988,-101.4725,825
40872,27.8333,51.9333,4
78484,18.4667,-69.9667,58
83376,-15.85,-48.9667,740
62403,26.2003,32.7467,96
47597,37.1333,140.2167,355
34415,49.1833,37.3,77
28939,52.5,59.7,381
31371,52.7833,126,212
D4063,52.4461,8.5906,41
31436,52.5167,141.2,14
61697,12.4,-16.75,16
94593,-27.4,153.5,41
71579,49.89,-97.13,230
7139,48.45,0.1167,144
94880,-37.9,145.9667,270
16197,42.7333,10.4,396
81985,-9.1081,-45.9319,281
98436,13.95,121.3833,0
26335,57.3167,25.3333,122
94139,-11.7,133.4,4
KPWC0,46.7248,-94.3817,395
71364,68.32,-133.52,103
94119,-11.4,130.4,12
10028,54.3297,8.6028,5
47910,27.8333,128.8833,5
69169,43.95,18.07,579
23592,64.22,93.8,102
57424,30.79,106.07,310
LIRX0,42.73,10.38,297
89815,-66.5833,110.7,81
D4017,50.1807,6.3509,386
71612,45.5,-73.58,73
59493,22.55,114.1,18
99443,25.0167,-80.3833,0
32618,55.2,165.9833,6
7249,47.9833,1.75,126
44418,28.1,81.6667,165
KY190,46.768,-100.8944,593
11009,48.1833,14.0333,318
DCBG8,49.85,-97.27,238
30874,51.65,117.5667,715
2210,63.1864,12.1761,1090
64754,11.0333,20.2833,433
31577,50.1833,139.0167,697
85577,-33.4333,-70.6833,520
47120,37.25,127,24
57181,33.9667,113.2167,76
40376,27.6,38.6,860
94008,-8.7167,141.6333,31
87659,-36.8833,-56.6667,0
4VRLT,49.2605,8.1548,144
87311,-31.5667,-68.8667,597
98325,16.05,120.3333,1
3071,57.3333,-3.6333,335
72252,27.5333,-99.45,155
15170,46.3667,25.7333,662
ATFMU,34.3404,-83.1308,271
47577,41.4333,141.4667,16
41262,22.35,56.4833,170
26853,53.8333,28.9833,0
KELD0,33.221,-92.8133,84
94186,-12.8,143.3,24
2992,60.2667,26.45,5
HKGI9,49.78,-74.53,381
82571,-5.5,-45.2667,153
72438,39.7167,-86.1167,243
10125,53.5,8.05,5
83851,-23.4833,-47.4667,632
83190,-11.6333,-38.9667,0
16730,37.45,24.95,10
43241,14.4833,78.8333,129
43197,15.85,74.5333,751
71742,48.95,-54.57,151
28566,55.8167,66.7833,115
72538,47.4667,-87.8833,191
KGPM0,32.6988,-97.0469,179
2433,60.6167,15.6667,157
6068,56.0939,9.1811,60
KSGR0,29.6223,-95.6565,25
22925,60.6333,34.7833,90
2186,65.55,22.1333,17
24329,66.25,114.2833,235
99230,28.3,126,3
1I9Z5,51.71,-121.08,989
71096,67.54,-63.79,584
7015,50.5667,3.1,48
22282,67.8,46.6667,6
4280,60.9167,-46.0586,25
91929,-16.4453,-151.7519,3
78641,14.5833,-90.5167,1489
LSMA0,46.9425,8.2856,440
HBU78,29.229,-87.781,40
43315,11.8333,75.3333,11
83398,-15.6667,-38.9333,4
10619,49.65,7.3,426
80035,11.5333,-72.9333,4
62801,11.75,32.7833,282
72908,64.7272,-155.4699,201
74732,32.85,-106.1,1248
8K8EO,51.537,7.5809,69
10337,52.1833,9.95,88
KLMO0,40.1643,-105.1637,1541
17248,37.5,34.0667,1044
43041,19.0833,82.0333,552
20357,76.1833,63.5667,9
28908,52.6167,51.2833,0
54518,39.05,116.4,8
KCVN0,34.4251,-103.0793,1285
82068,0.6,-69.2,105
82705,-7.5833,-72.7667,199
KTMT0,39.468,-117.1954,1748
29203,58.45,76.4167,81
83953,-30.8833,-55.5333,231
72480,37.3667,-118.3667,1256
91521,7.9,10,0
2832,62.2333,30.35,90
85315,-20,-63.5333,798
CZF98,37.59139,-83.31444,421
67019,-14.6333,47.7667,105
KJBR0,35.8317,-90.6464,80
33421,49.9667,26.25,282
SLVG0,-18.4825,-64.0994,1997
31878,45.0833,133.5333,95
41006,22.4333,41.75,0
KFCI0,37.4064,-77.5248,72
32477,54.3,155.9167,25
KTIX0,28.5148,-80.7992,10
ZXYDC,48.67,-53.11,26
34555,48.3333,43.1167,77
36870,43.2333,76.9333,847
2780,62.9333,21.1833,2
S869F,49.84,-100.93,440
3901,54.3294,-7.5942,72
6730,46.55,7.9833,3580
2558,58.6894,16.3106,154
94831,-35.0667,142.3167,50
ORUB0,32.4837,45.7559,21
1338,61.1667,6.65,4
37792,40.5,44.7667,0
93061,-35.95,173.8333,15
KNRS0,32.5667,-117.1167,7
1192,68.4319,17.6622,200
I2X83,32.8935,-81.9654,72
47670,35.4333,139.65,39
63SNJ,51.05,-112.1,748
71705,46.11,-64.68,71
94544,-29.39,151.2447,462
94023,-7.2,146.65,583
78354,21.1333,-77.3167,0
D6201,49.5336,10.1549,337
56172,31.9,102.2333,2666
47676,34.3667,139.25,10
78095,23.1,-74.9667,7
82915,-9.9667,-67.8,160
87420,-32.8833,-68.85,827
KBIJ0,31.3975,-84.8948,65
94596,-28.8,153.6,2
33587,48.7667,30.2333,214
KMGY0,39.589,-84.2249,292
2CC90,34.98374,-105.99576,1889
68257,-25.2614,27.2286,1085
10571,49.43,7.6,238
1068,71.0167,25.9833,1
96441,3.2,113.0333,2
O9739,49.23,-103.23,571
